0 1925000 xx^xx-sil+e=e/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_13/K:5+18-90
85025000 85825000 u^i-e+e=ky/A:-2+7+7/B:02-xx_xx/C:03_xx+xx/D:02+xx_xx/E:3_1!0_xx-0/F:13_9#0_xx@1_2|1_21/G:8_2%0_xx_1/H:5_20/I:2-21@4+2&12-7|50+41/J:5_20/K:5+18-90
85825000 86225000 i^e-e+ky=o/A:-1+8+6/B:02-xx_xx/C:03_xx+xx/D:02+xx_xx/E:3_1!0_xx-0/F:13_9#0_xx@1_2|1_21/G:8_2%0_xx_1/H:5_20/I:2-21@4+2&12-7|50+41/J:5_20/K:5+18-90
86225000 87425000 e^e-ky+o=o/A:0+9+5/B:03-xx_xx/C:02_xx+xx/D:23+xx_xx/E:3_1!0_xx-0/F:13_9#0_xx@1_2|1_21/G:8_2%0_xx_1/H:5_20/I:2-21@4+2&12-7|50+41/J:5_20/K:5+18-90
87425000 87725000 e^ky-o+o=k/A:0+9+5/B:03-xx_xx/C:02_xx+xx/D:23+xx_xx/E:3_1!0_xx-0/F:13_9#0_xx@1_2|1_21/G:8_2%0_xx_1/H:5_20/I:2-21@4+2&12-7|50+41/J:5_20/K:5+18-90
87725000 88325000 ky^o-o+k=a/A:1+10+4/B:03-xx_xx/C:02_xx+xx/D:23+xx_xx/E:3_1!0_xx-0/F:13_9#0_xx@1_2|1_21/G:8_2%0_xx_1/H:5_20/I:2-21@4+2&12-7|50+41/J:5_20/K:5+18-90
88325000 89324999 o^o-k+a=i/A:2+11+3/B:03-xx_xx/C:02_xx+xx/D:23+xx_xx/E:3_1!0_xx-0/F:13_9#0_xx@1_2|1_21/G:8_2%0_xx_1/H:5_20/I:2-21@4+2&12-7|50+41/J:5_20/K:5+18-90
89324999 89925000 o^k-a+i=n/A:2+11+3/B:03-xx_xx/C:02_xx+xx/D:23+xx_xx/E:3_1!0_xx-0/F:13_9#0_xx@1_2|1_21/G:8_2%0_xx_1/H:5_20/I:2-21@4+2&12-7|50+41/J:5_20/K:5+18-90
89925000 90225000 k^a-i+n=o/A:3+12+2/B:03-xx_xx/C:02_xx+xx/D:23+xx_xx/E:3_1!0_xx-0/F:13_9#0_xx@1_2|1_21/G:8_2%0_xx_1/H:5_20/I:2-21@4+2&12-7|50+41/J:5_20/K:5+18-90
90225000 91225000 a^i-n+o=s/A:4+13+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:3_1!0_xx-0/F:13_9#0_xx@1_2|1_21/G:8_2%0_xx_1/H:5_20/I:2-21@4+2&12-7|50+41/J:5_20/K:5+18-90
91225000 91525000 i^n-o+s=U/A:4+13+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:3_1!0_xx-0/F:13_9#0_xx@1_2|1_21/G:8_2%0_xx_1/H:5_20/I:2-21@4+2&12-7|50+41/J:5_20/K:5+18-90
91525000 91824999 n^o-s+U=p/A:-1+1+8/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:13_9!0_xx-1/F:8_2#0_xx@2_1|14_8/G:4_1%0_xx_0/H:5_20/I:2-21@4+2&12-7|50+41/J:5_20/K:5+18-90
91824999 93125000 o^s-U+p=o/A:-1+1+8/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:13_9!0_xx-1/F:8_2#0_xx@2_1|14_8/G:4_1%0_xx_0/H:5_20/I:2-21@4+2&12-7|50+41/J:5_20/K:5+18-90
93125000 93425000 s^U-p+o=o/A:0+2+7/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:13_9!0_xx-1/F:8_2#0_xx@2_1|14_8/G:4_1%0_xx_0/H:5_20/I:2-21@4+2&12-7|50+41/J:5_20/K:5+18-90
93425000 94525000 U^p-o+o=k/A:0+2+7/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:13_9!0_xx-1/F:8_2#0_xx@2_1|14_8/G:4_1%0_xx_0/H:5_20/I:2-21@4+2&12-7|50+41/J:5_20/K:5+18-90
94525000 95425000 p^o-o+k=U/A:1+3+6/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:13_9!0_xx-1/F:8_2#0_xx@2_1|14_8/G:4_1%0_xx_0/H:5_20/I:2-21@4+2&12-7|50+41/J:5_20/K:5+18-90
95425000 98625000 o^o-k+U=s/A:2+4+5/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:13_9!0_xx-1/F:8_2#0_xx@2_1|14_8/G:4_1%0_xx_0/H:5_20/I:2-21@4+2&12-7|50+41/J:5_20/K:5+18-90
98625000 99625000 o^k-U+s=u/A:2+4+5/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:13_9!0_xx-1/F:8_2#0_xx@2_1|14_8/G:4_1%0_xx_0/H:5_20/I:2-21@4+2&12-7|50+41/J:5_20/K:5+18-90
99625000 100125000 k^U-s+u=m/A:3+5+4/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:13_9!0_xx-1/F:8_2#0_xx@2_1|14_8/G:4_1%0_xx_0/H:5_20/I:2-21@4+2&12-7|50+41/J:5_20/K:5+18-90
100125000 100625000 U^s-u+m=a/A:3+5+4/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:13_9!0_xx-1/F:8_2#0_xx@2_1|14_8/G:4_1%0_xx_0/H:5_20/I:2-21@4+2&12-7|50+41/J:5_20/K:5+18-90
100625000 101425000 s^u-m+a=N/A:4+6+3/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:13_9!0_xx-1/F:8_2#0_xx@2_1|14_8/G:4_1%0_xx_0/H:5_20/I:2-21@4+2&12-7|50+41/J:5_20/K:5+18-90
101425000 102125000 u^m-a+N=w/A:4+6+3/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:13_9!0_xx-1/F:8_2#0_xx@2_1|14_8/G:4_1%0_xx_0/H:5_20/I:2-21@4+2&12-7|50+41/J:5_20/K:5+18-90
102125000 102525000 m^a-N+w=a/A:5+7+2/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:13_9!0_xx-1/F:8_2#0_xx@2_1|14_8/G:4_1%0_xx_0/H:5_20/I:2-21@4+2&12-7|50+41/J:5_20/K:5+18-90
102525000 102925000 a^N-w+a=pau/A:6+8+1/B:02-xx_xx/C:24_xx+xx/D:04+xx_xx/E:13_9!0_xx-1/F:8_2#0_xx@2_1|14_8/G:4_1%0_xx_0/H:5_20/I:2-21@4+2&12-7|50+41/J:5_20/K:5+18-90
102925000 103425000 N^w-a+pau=k/A:6+8+1/B:02-xx_xx/C:24_xx+xx/D:04+xx_xx/E:13_9!0_xx-1/F:8_2#0_xx@2_1|14_8/G:4_1%0_xx_0/H:5_20/I:2-21@4+2&12-7|50+41/J:5_20/K:5+18-90
103425000 104225000 w^a-pau+k=a/A:xx+xx+xx/B:24-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:8_2!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:2_21/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_20/K:5+18-90
104225000 104825000 a^pau-k+a=n/A:0+1+4/B:24-xx_xx/C:04_xx+xx/D:13+xx_xx/E:8_2!0_xx-0/F:4_1#0_xx@1_5|1_20/G:3_3%0_xx_1/H:2_21/I:5-20@5+1&14-5|71+20/J:xx_xx/K:5+18-90
104825000 105425000 pau^k-a+n=o/A:0+1+4/B:24-xx_xx/C:04_xx+xx/D:13+xx_xx/E:8_2!0_xx-0/F:4_1#0_xx@1_5|1_20/G:3_3%0_xx_1/H:2_21/I:5-20@5+1&14-5|71+20/J:xx_xx/K:5+18-90
105425000 105825000 k^a-n+o=j/A:1+2+3/B:24-xx_xx/C:04_xx+xx/D:13+xx_xx/E:8_2!0_xx-0/F:4_1#0_xx@1_5|1_20/G:3_3%0_xx_1/H:2_21/I:5-20@5+1&14-5|71+20/J:xx_xx/K:5+18-90
105825000 106625000 a^n-o+j=o/A:1+2+3/B:24-xx_xx/C:04_xx+xx/D:13+xx_xx/E:8_2!0_xx-0/F:4_1#0_xx@1_5|1_20/G:3_3%0_xx_1/H:2_21/I:5-20@5+1&14-5|71+20/J:xx_xx/K:5+18-90
106625000 106925000 n^o-j+o=g/A:2+3+2/B:24-xx_xx/C:04_xx+xx/D:13+xx_xx/E:8_2!0_xx-0/F:4_1#0_xx@1_5|1_20/G:3_3%0_xx_1/H:2_21/I:5-20@5+1&14-5|71+20/J:xx_xx/K:5+18-90
106925000 107825000 o^j-o+g=a/A:2+3+2/B:24-xx_xx/C:04_xx+xx/D:13+xx_xx/E:8_2!0_xx-0/F:4_1#0_xx@1_5|1_20/G:3_3%0_xx_1/H:2_21/I:5-20@5+1&14-5|71+20/J:xx_xx/K:5+18-90
107825000 108325000 j^o-g+a=t/A:3+4+1/B:04-xx_xx/C:13_xx+xx/D:06+xx_xx/E:8_2!0_xx-0/F:4_1#0_xx@1_5|1_20/G:3_3%0_xx_1/H:2_21/I:5-20@5+1&14-5|71+20/J:xx_xx/K:5+18-90
108325000 109425000 o^g-a+t=o/A:3+4+1/B:04-xx_xx/C:13_xx+xx/D:06+xx_xx/E:8_2!0_xx-0/F:4_1#0_xx@1_5|1_20/G:3_3%0_xx_1/H:2_21/I:5-20@5+1&14-5|71+20/J:xx_xx/K:5+18-90
109425000 110025000 g^a-t+o=t/A:-2+1+3/B:13-xx_xx/C:06_xx+xx/D:19+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@2_4|5_16/G:7_1%0_xx_1/H:2_21/I:5-20@5+1&14-5|71+20/J:xx_xx/K:5+18-90
110025000 110525000 a^t-o+t=e/A:-2+1+3/B:13-xx_xx/C:06_xx+xx/D:19+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@2_4|5_16/G:7_1%0_xx_1/H:2_21/I:5-20@5+1&14-5|71+20/J:xx_xx/K:5+18-90
110525000 110825000 t^o-t+e=m/A:-1+2+2/B:13-xx_xx/C:06_xx+xx/D:19+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@2_4|5_16/G:7_1%0_xx_1/H:2_21/I:5-20@5+1&14-5|71+20/J:xx_xx/K:5+18-90
110825000 111325000 o^t-e+m=o/A:-1+2+2/B:13-xx_xx/C:06_xx+xx/D:19+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@2_4|5_16/G:7_1%0_xx_1/H:2_21/I:5-20@5+1&14-5|71+20/J:xx_xx/K:5+18-90
111325000 111925000 t^e-m+o=g/A:0+3+1/B:13-xx_xx/C:06_xx+xx/D:19+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@2_4|5_16/G:7_1%0_xx_1/H:2_21/I:5-20@5+1&14-5|71+20/J:xx_xx/K:5+18-90
111925000 112325000 e^m-o+g=e/A:0+3+1/B:13-xx_xx/C:06_xx+xx/D:19+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@2_4|5_16/G:7_1%0_xx_1/H:2_21/I:5-20@5+1&14-5|71+20/J:xx_xx/K:5+18-90
112325000 113025000 m^o-g+e=N/A:0+1+7/B:06-xx_xx/C:19_xx+xx/D:10+7_1/E:3_3!0_xx-1/F:7_1#0_xx@3_3|8_13/G:4_4%0_xx_1/H:2_21/I:5-20@5+1&14-5|71+20/J:xx_xx/K:5+18-90
113025000 113625000 o^g-e+N=k/A:0+1+7/B:06-xx_xx/C:19_xx+xx/D:10+7_1/E:3_3!0_xx-1/F:7_1#0_xx@3_3|8_13/G:4_4%0_xx_1/H:2_21/I:5-20@5+1&14-5|71+20/J:xx_xx/K:5+18-90
113625000 113925000 g^e-N+k=i/A:1+2+6/B:06-xx_xx/C:19_xx+xx/D:10+7_1/E:3_3!0_xx-1/F:7_1#0_xx@3_3|8_13/G:4_4%0_xx_1/H:2_21/I:5-20@5+1&14-5|71+20/J:xx_xx/K:5+18-90
113925000 115025000 e^N-k+i=d/A:2+3+5/B:06-xx_xx/C:19_xx+xx/D:10+7_1/E:3_3!0_xx-1/F:7_1#0_xx@3_3|8_13/G:4_4%0_xx_1/H:2_21/I:5-20@5+1&14-5|71+20/J:xx_xx/K:5+18-90
115025000 115525000 N^k-i+d=e/A:2+3+5/B:06-xx_xx/C:19_xx+xx/D:10+7_1/E:3_3!0_xx-1/F:7_1#0_xx@3_3|8_13/G:4_4%0_xx_1/H:2_21/I:5-20@5+1&14-5|71+20/J:xx_xx/K:5+18-90
115525000 116425000 k^i-d+e=a/A:3+4+4/B:19-xx_xx/C:10_7+1/D:10+1_2/E:3_3!0_xx-1/F:7_1#0_xx@3_3|8_13/G:4_4%0_xx_1/H:2_21/I:5-20@5+1&14-5|71+20/J:xx_xx/K:5+18-90
116425000 117525000 i^d-e+a=r/A:3+4+4/B:19-xx_xx/C:10_7+1/D:10+1_2/E:3_3!0_xx-1/F:7_1#0_xx@3_3|8_13/G:4_4%0_xx_1/H:2_21/I:5-20@5+1&14-5|71+20/J:xx_xx/K:5+18-90
117525000 117825000 d^e-a+r=u/A:4+5+3/B:10-7_1/C:10_1+2/D:13+xx_xx/E:3_3!0_xx-1/F:7_1#0_xx@3_3|8_13/G:4_4%0_xx_1/H:2_21/I:5-20@5+1&14-5|71+20/J:xx_xx/K:5+18-90
117825000 119324999 e^a-r+u=t/A:5+6+2/B:10-7_1/C:10_1+2/D:13+xx_xx/E:3_3!0_xx-1/F:7_1#0_xx@3_3|8_13/G:4_4%0_xx_1/H:2_21/I:5-20@5+1&14-5|71+20/J:xx_xx/K:5+18-90
119324999 119625000 a^r-u+t=o/A:5+6+2/B:10-7_1/C:10_1+2/D:13+xx_xx/E:3_3!0_xx-1/F:7_1#0_xx@3_3|8_13/G:4_4%0_xx_1/H:2_21/I:5-20@5+1&14-5|71+20/J:xx_xx/K:5+18-90
119625000 120625000 r^u-t+o=h/A:6+7+1/B:10-1_2/C:13_xx+xx/D:03+xx_xx/E:3_3!0_xx-1/F:7_1#0_xx@3_3|8_13/G:4_4%0_xx_1/H:2_21/I:5-20@5+1&14-5|71+20/J:xx_xx/K:5+18-90
120625000 121325000 u^t-o+h=a/A:6+7+1/B:10-1_2/C:13_xx+xx/D:03+xx_xx/E:3_3!0_xx-1/F:7_1#0_xx@3_3|8_13/G:4_4%0_xx_1/H:2_21/I:5-20@5+1&14-5|71+20/J:xx_xx/K:5+18-90
121325000 124425000 t^o-h+a=cl/A:-3+1+4/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:7_1!0_xx-1/F:4_4#0_xx@4_2|15_6/G:2_2%0_xx_1/H:2_21/I:5-20@5+1&14-5|71+20/J:xx_xx/K:5+18-90
