0 2225000 xx^xx-sil+m=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_5%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_18/K:3+15-70
76025000 76525000 o^h-o+o=n/A:2+7+3/B:03-xx_xx/C:02_xx+xx/D:13+xx_xx/E:7_7!0_xx-0/F:9_5#0_xx@1_5|1_22/G:3_1%0_xx_1/H:6_30/I:5-22@3+1&11-5|49+22/J:xx_xx/K:3+15-70
76525000 77525000 h^o-o+n=i/A:3+8+2/B:03-xx_xx/C:02_xx+xx/D:13+xx_xx/E:7_7!0_xx-0/F:9_5#0_xx@1_5|1_22/G:3_1%0_xx_1/H:6_30/I:5-22@3+1&11-5|49+22/J:xx_xx/K:3+15-70
77525000 78225000 o^o-n+i=ts/A:4+9+1/B:02-xx_xx/C:13_xx+xx/D:20+1_1/E:7_7!0_xx-0/F:9_5#0_xx@1_5|1_22/G:3_1%0_xx_1/H:6_30/I:5-22@3+1&11-5|49+22/J:xx_xx/K:3+15-70
78225000 78925000 o^n-i+ts=u/A:4+9+1/B:02-xx_xx/C:13_xx+xx/D:20+1_1/E:7_7!0_xx-0/F:9_5#0_xx@1_5|1_22/G:3_1%0_xx_1/H:6_30/I:5-22@3+1&11-5|49+22/J:xx_xx/K:3+15-70
78925000 79325000 n^i-ts+u=i/A:0+1+3/B:13-xx_xx/C:20_1+1/D:12+xx_xx/E:9_5!0_xx-1/F:3_1#0_xx@2_4|10_13/G:3_1%0_xx_1/H:6_30/I:5-22@3+1&11-5|49+22/J:xx_xx/K:3+15-70
79325000 80625000 i^ts-u+i=t/A:0+1+3/B:13-xx_xx/C:20_1+1/D:12+xx_xx/E:9_5!0_xx-1/F:3_1#0_xx@2_4|10_13/G:3_1%0_xx_1/H:6_30/I:5-22@3+1&11-5|49+22/J:xx_xx/K:3+15-70
80625000 80925000 ts^u-i+t=e/A:1+2+2/B:13-xx_xx/C:20_1+1/D:12+xx_xx/E:9_5!0_xx-1/F:3_1#0_xx@2_4|10_13/G:3_1%0_xx_1/H:6_30/I:5-22@3+1&11-5|49+22/J:xx_xx/K:3+15-70
80925000 81325000 u^i-t+e=r/A:2+3+1/B:20-1_1/C:12_xx+xx/D:03+xx_xx/E:9_5!0_xx-1/F:3_1#0_xx@2_4|10_13/G:3_1%0_xx_1/H:6_30/I:5-22@3+1&11-5|49+22/J:xx_xx/K:3+15-70
81325000 81625000 i^t-e+r=i/A:2+3+1/B:20-1_1/C:12_xx+xx/D:03+xx_xx/E:9_5!0_xx-1/F:3_1#0_xx@2_4|10_13/G:3_1%0_xx_1/H:6_30/I:5-22@3+1&11-5|49+22/J:xx_xx/K:3+15-70
81625000 82525000 t^e-r+i=k/A:0+1+3/B:12-xx_xx/C:03_xx+xx/D:20+4_2/E:3_1!0_xx-1/F:3_1#0_xx@3_3|13_10/G:2_2%0_xx_1/H:6_30/I:5-22@3+1&11-5|49+22/J:xx_xx/K:3+15-70
82525000 83125000 e^r-i+k=a/A:0+1+3/B:12-xx_xx/C:03_xx+xx/D:20+4_2/E:3_1!0_xx-1/F:3_1#0_xx@3_3|13_10/G:2_2%0_xx_1/H:6_30/I:5-22@3+1&11-5|49+22/J:xx_xx/K:3+15-70
83125000 83725000 r^i-k+a=i/A:1+2+2/B:12-xx_xx/C:03_xx+xx/D:20+4_2/E:3_1!0_xx-1/F:3_1#0_xx@3_3|13_10/G:2_2%0_xx_1/H:6_30/I:5-22@3+1&11-5|49+22/J:xx_xx/K:3+15-70
83725000 84225000 i^k-a+i=s/A:1+2+2/B:12-xx_xx/C:03_xx+xx/D:20+4_2/E:3_1!0_xx-1/F:3_1#0_xx@3_3|13_10/G:2_2%0_xx_1/H:6_30/I:5-22@3+1&11-5|49+22/J:xx_xx/K:3+15-70
84225000 84725000 k^a-i+s=u/A:2+3+1/B:12-xx_xx/C:03_xx+xx/D:20+4_2/E:3_1!0_xx-1/F:3_1#0_xx@3_3|13_10/G:2_2%0_xx_1/H:6_30/I:5-22@3+1&11-5|49+22/J:xx_xx/K:3+15-70
84725000 85325000 a^i-s+u=r/A:-1+1+2/B:03-xx_xx/C:20_4+2/D:22+xx_xx/E:3_1!0_xx-1/F:2_2#0_xx@4_2|16_7/G:5_2%0_xx_1/H:6_30/I:5-22@3+1&11-5|49+22/J:xx_xx/K:3+15-70
85325000 86225000 i^s-u+r=u/A:-1+1+2/B:03-xx_xx/C:20_4+2/D:22+xx_xx/E:3_1!0_xx-1/F:2_2#0_xx@4_2|16_7/G:5_2%0_xx_1/H:6_30/I:5-22@3+1&11-5|49+22/J:xx_xx/K:3+15-70
86225000 86824999 s^u-r+u=k/A:0+2+1/B:03-xx_xx/C:20_4+2/D:22+xx_xx/E:3_1!0_xx-1/F:2_2#0_xx@4_2|16_7/G:5_2%0_xx_1/H:6_30/I:5-22@3+1&11-5|49+22/J:xx_xx/K:3+15-70
86824999 87425000 u^r-u+k=o/A:0+2+1/B:03-xx_xx/C:20_4+2/D:22+xx_xx/E:3_1!0_xx-1/F:2_2#0_xx@4_2|16_7/G:5_2%0_xx_1/H:6_30/I:5-22@3+1&11-5|49+22/J:xx_xx/K:3+15-70
87425000 91325000 r^u-k+o=t/A:-1+1+5/B:20-4_2/C:22_xx+xx/D:10+7_1/E:2_2!0_xx-1/F:5_2#0_xx@5_1|18_5/G:xx_xx%xx_xx_xx/H:6_30/I:5-22@3+1&11-5|49+22/J:xx_xx/K:3+15-70
