0 3425000 xx^xx-sil+g=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_16/K:3+14-65
78625000 79325000 ch^I-k+o=m/A:0+3+4/B:13-xx_xx/C:20_1+0/D:13+xx_xx/E:4_4!0_xx-1/F:6_3#0_xx@6_3|26_11/G:2_2%0_xx_1/H:3_13/I:8-36@3+1&7-8|30+36/J:xx_xx/K:3+14-65
79325000 79625000 I^k-o+m=o/A:0+3+4/B:13-xx_xx/C:20_1+0/D:13+xx_xx/E:4_4!0_xx-1/F:6_3#0_xx@6_3|26_11/G:2_2%0_xx_1/H:3_13/I:8-36@3+1&7-8|30+36/J:xx_xx/K:3+14-65
79625000 80025000 k^o-m+o=o/A:1+4+3/B:13-xx_xx/C:20_1+0/D:13+xx_xx/E:4_4!0_xx-1/F:6_3#0_xx@6_3|26_11/G:2_2%0_xx_1/H:3_13/I:8-36@3+1&7-8|30+36/J:xx_xx/K:3+14-65
80025000 80725000 o^m-o+o=t/A:1+4+3/B:13-xx_xx/C:20_1+0/D:13+xx_xx/E:4_4!0_xx-1/F:6_3#0_xx@6_3|26_11/G:2_2%0_xx_1/H:3_13/I:8-36@3+1&7-8|30+36/J:xx_xx/K:3+14-65
80725000 81225000 m^o-o+t=o/A:2+5+2/B:13-xx_xx/C:20_1+0/D:13+xx_xx/E:4_4!0_xx-1/F:6_3#0_xx@6_3|26_11/G:2_2%0_xx_1/H:3_13/I:8-36@3+1&7-8|30+36/J:xx_xx/K:3+14-65
81225000 81925000 o^o-t+o=sh/A:3+6+1/B:20-1_0/C:13_xx+xx/D:20+4_1/E:4_4!0_xx-1/F:6_3#0_xx@6_3|26_11/G:2_2%0_xx_1/H:3_13/I:8-36@3+1&7-8|30+36/J:xx_xx/K:3+14-65
81925000 82325000 o^t-o+sh=I/A:3+6+1/B:20-1_0/C:13_xx+xx/D:20+4_1/E:4_4!0_xx-1/F:6_3#0_xx@6_3|26_11/G:2_2%0_xx_1/H:3_13/I:8-36@3+1&7-8|30+36/J:xx_xx/K:3+14-65
82325000 83325000 t^o-sh+I=t/A:-1+1+2/B:13-xx_xx/C:20_4+1/D:10+7_2/E:6_3!0_xx-1/F:2_2#0_xx@7_2|32_5/G:3_2%0_xx_1/H:3_13/I:8-36@3+1&7-8|30+36/J:xx_xx/K:3+14-65
83325000 85125000 o^sh-I+t=a/A:-1+1+2/B:13-xx_xx/C:20_4+1/D:10+7_2/E:6_3!0_xx-1/F:2_2#0_xx@7_2|32_5/G:3_2%0_xx_1/H:3_13/I:8-36@3+1&7-8|30+36/J:xx_xx/K:3+14-65
85125000 85425000 sh^I-t+a=n/A:0+2+1/B:20-4_1/C:10_7+2/D:22+xx_xx/E:6_3!0_xx-1/F:2_2#0_xx@7_2|32_5/G:3_2%0_xx_1/H:3_13/I:8-36@3+1&7-8|30+36/J:xx_xx/K:3+14-65
85425000 87425000 I^t-a+n=o/A:0+2+1/B:20-4_1/C:10_7+2/D:22+xx_xx/E:6_3!0_xx-1/F:2_2#0_xx@7_2|32_5/G:3_2%0_xx_1/H:3_13/I:8-36@3+1&7-8|30+36/J:xx_xx/K:3+14-65
