0 2925000 xx^xx-sil+h=e/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:12_50/K:2+17-74
76025000 76625000 g^o-o+ry=o/A:-1+4+4/B:23-xx_xx/C:03_xx+xx/D:15+xx_xx/E:4_4!0_xx-1/F:7_5#0_xx@2_4|5_20/G:3_1%0_xx_1/H:12_50/I:5-24@2+1&13-5|51+24/J:xx_xx/K:2+17-74
76625000 77225000 o^o-ry+o=k/A:0+5+3/B:03-xx_xx/C:15_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:7_5#0_xx@2_4|5_20/G:3_1%0_xx_1/H:12_50/I:5-24@2+1&13-5|51+24/J:xx_xx/K:2+17-74
77225000 77525000 o^ry-o+k=u/A:0+5+3/B:03-xx_xx/C:15_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:7_5#0_xx@2_4|5_20/G:3_1%0_xx_1/H:12_50/I:5-24@2+1&13-5|51+24/J:xx_xx/K:2+17-74
77525000 78825000 ry^o-k+u=g/A:1+6+2/B:03-xx_xx/C:15_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:7_5#0_xx@2_4|5_20/G:3_1%0_xx_1/H:12_50/I:5-24@2+1&13-5|51+24/J:xx_xx/K:2+17-74
78825000 79325000 o^k-u+g=a/A:1+6+2/B:03-xx_xx/C:15_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:7_5#0_xx@2_4|5_20/G:3_1%0_xx_1/H:12_50/I:5-24@2+1&13-5|51+24/J:xx_xx/K:2+17-74
79325000 79725000 k^u-g+a=a/A:2+7+1/B:15-xx_xx/C:13_xx+xx/D:20+1_2/E:4_4!0_xx-1/F:7_5#0_xx@2_4|5_20/G:3_1%0_xx_1/H:12_50/I:5-24@2+1&13-5|51+24/J:xx_xx/K:2+17-74
79725000 80525000 u^g-a+a=r/A:2+7+1/B:15-xx_xx/C:13_xx+xx/D:20+1_2/E:4_4!0_xx-1/F:7_5#0_xx@2_4|5_20/G:3_1%0_xx_1/H:12_50/I:5-24@2+1&13-5|51+24/J:xx_xx/K:2+17-74
80525000 81225000 g^a-a+r=u/A:0+1+3/B:13-xx_xx/C:20_1+2/D:13+xx_xx/E:7_5!0_xx-1/F:3_1#0_xx@3_3|12_13/G:4_1%0_xx_1/H:12_50/I:5-24@2+1&13-5|51+24/J:xx_xx/K:2+17-74
81225000 81525000 a^a-r+u=t/A:1+2+2/B:13-xx_xx/C:20_1+2/D:13+xx_xx/E:7_5!0_xx-1/F:3_1#0_xx@3_3|12_13/G:4_1%0_xx_1/H:12_50/I:5-24@2+1&13-5|51+24/J:xx_xx/K:2+17-74
81525000 81824999 a^r-u+t=o/A:1+2+2/B:13-xx_xx/C:20_1+2/D:13+xx_xx/E:7_5!0_xx-1/F:3_1#0_xx@3_3|12_13/G:4_1%0_xx_1/H:12_50/I:5-24@2+1&13-5|51+24/J:xx_xx/K:2+17-74
81824999 82625000 r^u-t+o=h/A:2+3+1/B:20-1_2/C:13_xx+xx/D:03+xx_xx/E:7_5!0_xx-1/F:3_1#0_xx@3_3|12_13/G:4_1%0_xx_1/H:12_50/I:5-24@2+1&13-5|51+24/J:xx_xx/K:2+17-74
82625000 82925000 u^t-o+h=a/A:2+3+1/B:20-1_2/C:13_xx+xx/D:03+xx_xx/E:7_5!0_xx-1/F:3_1#0_xx@3_3|12_13/G:4_1%0_xx_1/H:12_50/I:5-24@2+1&13-5|51+24/J:xx_xx/K:2+17-74
82925000 83825000 t^o-h+a=N/A:0+1+4/B:13-xx_xx/C:03_xx+xx/D:20+1_1/E:3_1!0_xx-1/F:4_1#0_xx@4_2|15_10/G:6_4%0_xx_1/H:12_50/I:5-24@2+1&13-5|51+24/J:xx_xx/K:2+17-74
83825000 84125000 o^h-a+N=d/A:0+1+4/B:13-xx_xx/C:03_xx+xx/D:20+1_1/E:3_1!0_xx-1/F:4_1#0_xx@4_2|15_10/G:6_4%0_xx_1/H:12_50/I:5-24@2+1&13-5|51+24/J:xx_xx/K:2+17-74
84125000 84425000 h^a-N+d=a/A:1+2+3/B:13-xx_xx/C:03_xx+xx/D:20+1_1/E:3_1!0_xx-1/F:4_1#0_xx@4_2|15_10/G:6_4%0_xx_1/H:12_50/I:5-24@2+1&13-5|51+24/J:xx_xx/K:2+17-74
84425000 85425000 a^N-d+a=N/A:2+3+2/B:13-xx_xx/C:03_xx+xx/D:20+1_1/E:3_1!0_xx-1/F:4_1#0_xx@4_2|15_10/G:6_4%0_xx_1/H:12_50/I:5-24@2+1&13-5|51+24/J:xx_xx/K:2+17-74
85425000 86125000 N^d-a+N=i/A:2+3+2/B:13-xx_xx/C:03_xx+xx/D:20+1_1/E:3_1!0_xx-1/F:4_1#0_xx@4_2|15_10/G:6_4%0_xx_1/H:12_50/I:5-24@2+1&13-5|51+24/J:xx_xx/K:2+17-74
86125000 86425000 d^a-N+i=t/A:3+4+1/B:13-xx_xx/C:03_xx+xx/D:20+1_1/E:3_1!0_xx-1/F:4_1#0_xx@4_2|15_10/G:6_4%0_xx_1/H:12_50/I:5-24@2+1&13-5|51+24/J:xx_xx/K:2+17-74
86425000 86824999 a^N-i+t=a/A:-3+1+6/B:03-xx_xx/C:20_1+1/D:10+7_1/E:4_1!0_xx-1/F:6_4#0_xx@5_1|19_6/G:xx_xx%xx_xx_xx/H:12_50/I:5-24@2+1&13-5|51+24/J:xx_xx/K:2+17-74
86824999 87725000 N^i-t+a=sh/A:-2+2+5/B:03-xx_xx/C:20_1+1/D:10+7_1/E:4_1!0_xx-1/F:6_4#0_xx@5_1|19_6/G:xx_xx%xx_xx_xx/H:12_50/I:5-24@2+1&13-5|51+24/J:xx_xx/K:2+17-74
87725000 90625000 i^t-a+sh=i/A:-2+2+5/B:03-xx_xx/C:20_1+1/D:10+7_1/E:4_1!0_xx-1/F:6_4#0_xx@5_1|19_6/G:xx_xx%xx_xx_xx/H:12_50/I:5-24@2+1&13-5|51+24/J:xx_xx/K:2+17-74
