0 4325000 xx^xx-sil+n=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_18/K:4+18-77
86625000 87025000 m^i-o+m=a/A:2+3+1/B:03-xx_xx/C:13_xx+xx/D:20+1_2/E:4_3!0_xx-1/F:3_1#0_xx@6_8|24_24/G:3_3%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
87025000 87725000 i^o-m+a=n/A:-2+1+3/B:13-xx_xx/C:20_1+2/D:22+xx_xx/E:3_1!0_xx-1/F:3_3#0_xx@7_7|27_21/G:3_2%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
87725000 88524999 o^m-a+n=a/A:-2+1+3/B:13-xx_xx/C:20_1+2/D:22+xx_xx/E:3_1!0_xx-1/F:3_3#0_xx@7_7|27_21/G:3_2%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
88524999 89025000 m^a-n+a=b/A:-1+2+2/B:13-xx_xx/C:20_1+2/D:22+xx_xx/E:3_1!0_xx-1/F:3_3#0_xx@7_7|27_21/G:3_2%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
89025000 89625000 a^n-a+b=u/A:-1+2+2/B:13-xx_xx/C:20_1+2/D:22+xx_xx/E:3_1!0_xx-1/F:3_3#0_xx@7_7|27_21/G:3_2%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
89625000 90025000 n^a-b+u=k/A:0+3+1/B:13-xx_xx/C:20_1+2/D:22+xx_xx/E:3_1!0_xx-1/F:3_3#0_xx@7_7|27_21/G:3_2%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
90025000 90525000 a^b-u+k=o/A:0+3+1/B:13-xx_xx/C:20_1+2/D:22+xx_xx/E:3_1!0_xx-1/F:3_3#0_xx@7_7|27_21/G:3_2%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
90525000 91125000 b^u-k+o=t/A:-1+1+3/B:20-1_2/C:22_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:3_2#0_xx@8_6|30_18/G:3_2%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
91125000 91824999 u^k-o+t=o/A:-1+1+3/B:20-1_2/C:22_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:3_2#0_xx@8_6|30_18/G:3_2%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
91824999 92525000 k^o-t+o=g/A:0+2+2/B:20-1_2/C:22_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:3_2#0_xx@8_6|30_18/G:3_2%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
92525000 93125000 o^t-o+g=a/A:0+2+2/B:20-1_2/C:22_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:3_2#0_xx@8_6|30_18/G:3_2%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
93125000 93425000 t^o-g+a=d/A:1+3+1/B:22-xx_xx/C:13_xx+xx/D:20+3_2/E:3_3!0_xx-1/F:3_2#0_xx@8_6|30_18/G:3_2%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
93425000 94025000 o^g-a+d=e/A:1+3+1/B:22-xx_xx/C:13_xx+xx/D:20+3_2/E:3_3!0_xx-1/F:3_2#0_xx@8_6|30_18/G:3_2%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
94025000 94625000 g^a-d+e=k/A:-1+1+3/B:13-xx_xx/C:20_3+2/D:22+xx_xx/E:3_2!0_xx-1/F:3_2#0_xx@9_5|33_15/G:3_2%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
94625000 95425000 a^d-e+k=i/A:-1+1+3/B:13-xx_xx/C:20_3+2/D:22+xx_xx/E:3_2!0_xx-1/F:3_2#0_xx@9_5|33_15/G:3_2%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
95425000 95925000 d^e-k+i=r/A:0+2+2/B:13-xx_xx/C:20_3+2/D:22+xx_xx/E:3_2!0_xx-1/F:3_2#0_xx@9_5|33_15/G:3_2%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
95925000 96625000 e^k-i+r=u/A:0+2+2/B:13-xx_xx/C:20_3+2/D:22+xx_xx/E:3_2!0_xx-1/F:3_2#0_xx@9_5|33_15/G:3_2%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
96625000 96925000 k^i-r+u=k/A:1+3+1/B:13-xx_xx/C:20_3+2/D:22+xx_xx/E:3_2!0_xx-1/F:3_2#0_xx@9_5|33_15/G:3_2%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
96925000 98325000 i^r-u+k=o/A:1+3+1/B:13-xx_xx/C:20_3+2/D:22+xx_xx/E:3_2!0_xx-1/F:3_2#0_xx@9_5|33_15/G:3_2%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
98325000 98725000 r^u-k+o=t/A:-1+1+3/B:20-3_2/C:22_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:3_2#0_xx@10_4|36_12/G:4_4%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
98725000 100025000 u^k-o+t=o/A:-1+1+3/B:20-3_2/C:22_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:3_2#0_xx@10_4|36_12/G:4_4%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
100025000 100525000 k^o-t+o=o/A:0+2+2/B:20-3_2/C:22_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:3_2#0_xx@10_4|36_12/G:4_4%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
100525000 101325000 o^t-o+o=h/A:0+2+2/B:20-3_2/C:22_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:3_2#0_xx@10_4|36_12/G:4_4%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
101325000 101725000 t^o-o+h=a/A:1+3+1/B:22-xx_xx/C:13_xx+xx/D:03+xx_xx/E:3_2!0_xx-1/F:3_2#0_xx@10_4|36_12/G:4_4%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
101725000 102325000 o^o-h+a=cl/A:-3+1+4/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:3_2!0_xx-1/F:4_4#0_xx@11_3|39_9/G:3_2%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
102325000 102625000 o^h-a+cl=k/A:-3+1+4/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:3_2!0_xx-1/F:4_4#0_xx@11_3|39_9/G:3_2%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
102625000 103625000 h^a-cl+k=e/A:-2+2+3/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:3_2!0_xx-1/F:4_4#0_xx@11_3|39_9/G:3_2%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
103625000 103925000 a^cl-k+e=N/A:-1+3+2/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:3_2!0_xx-1/F:4_4#0_xx@11_3|39_9/G:3_2%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
103925000 104925000 cl^k-e+N=sh/A:-1+3+2/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:3_2!0_xx-1/F:4_4#0_xx@11_3|39_9/G:3_2%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
104925000 105225000 k^e-N+sh=I/A:0+4+1/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:3_2!0_xx-1/F:4_4#0_xx@11_3|39_9/G:3_2%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
105225000 106525000 e^N-sh+I=ts/A:-1+1+3/B:03-xx_xx/C:20_4+1/D:12+xx_xx/E:4_4!0_xx-1/F:3_2#0_xx@12_2|43_5/G:2_1%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
106525000 107125000 N^sh-I+ts=u/A:-1+1+3/B:03-xx_xx/C:20_4+1/D:12+xx_xx/E:4_4!0_xx-1/F:3_2#0_xx@12_2|43_5/G:2_1%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
107125000 107825000 sh^I-ts+u=ts/A:0+2+2/B:20-4_1/C:12_xx+xx/D:20+1_2/E:4_4!0_xx-1/F:3_2#0_xx@12_2|43_5/G:2_1%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
107825000 110425000 I^ts-u+ts=u/A:0+2+2/B:20-4_1/C:12_xx+xx/D:20+1_2/E:4_4!0_xx-1/F:3_2#0_xx@12_2|43_5/G:2_1%0_xx_1/H:1_7/I:13-47@4+1&6-13|31+47/J:xx_xx/K:4+18-77
