0 2025000 xx^xx-sil+m=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:16+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_27/K:4+15-64
78125000 78825000 N^a-m+e=g/A:1+2+2/B:06-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:3_1#0_xx@2_2|5_8/G:5_2%0_xx_1/H:2_10/I:3-12@4+1&13-3|53+12/J:xx_xx/K:4+15-64
78825000 79225000 a^m-e+g=a/A:1+2+2/B:06-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:3_1#0_xx@2_2|5_8/G:5_2%0_xx_1/H:2_10/I:3-12@4+1&13-3|53+12/J:xx_xx/K:4+15-64
79225000 79725000 m^e-g+a=o/A:2+3+1/B:02-xx_xx/C:13_xx+xx/D:01+7_1/E:4_1!0_xx-1/F:3_1#0_xx@2_2|5_8/G:5_2%0_xx_1/H:2_10/I:3-12@4+1&13-3|53+12/J:xx_xx/K:4+15-64
79725000 80825000 e^g-a+o=o/A:2+3+1/B:02-xx_xx/C:13_xx+xx/D:01+7_1/E:4_1!0_xx-1/F:3_1#0_xx@2_2|5_8/G:5_2%0_xx_1/H:2_10/I:3-12@4+1&13-3|53+12/J:xx_xx/K:4+15-64
80825000 81525000 g^a-o+o=k/A:-1+1+5/B:13-xx_xx/C:01_7+1/D:10+7_2/E:3_1!0_xx-1/F:5_2#0_xx@3_1|8_5/G:xx_xx%xx_xx_xx/H:2_10/I:3-12@4+1&13-3|53+12/J:xx_xx/K:4+15-64
81525000 82325000 a^o-o+k=a/A:0+2+4/B:13-xx_xx/C:01_7+1/D:10+7_2/E:3_1!0_xx-1/F:5_2#0_xx@3_1|8_5/G:xx_xx%xx_xx_xx/H:2_10/I:3-12@4+1&13-3|53+12/J:xx_xx/K:4+15-64
82325000 83125000 o^o-k+a=cl/A:1+3+3/B:13-xx_xx/C:01_7+1/D:10+7_2/E:3_1!0_xx-1/F:5_2#0_xx@3_1|8_5/G:xx_xx%xx_xx_xx/H:2_10/I:3-12@4+1&13-3|53+12/J:xx_xx/K:4+15-64
83125000 84025000 o^k-a+cl=t/A:1+3+3/B:13-xx_xx/C:01_7+1/D:10+7_2/E:3_1!0_xx-1/F:5_2#0_xx@3_1|8_5/G:xx_xx%xx_xx_xx/H:2_10/I:3-12@4+1&13-3|53+12/J:xx_xx/K:4+15-64
84025000 84625000 k^a-cl+t=a/A:2+4+2/B:13-xx_xx/C:01_7+1/D:10+7_2/E:3_1!0_xx-1/F:5_2#0_xx@3_1|8_5/G:xx_xx%xx_xx_xx/H:2_10/I:3-12@4+1&13-3|53+12/J:xx_xx/K:4+15-64
84625000 85725000 a^cl-t+a=sil/A:3+5+1/B:01-7_1/C:10_7+2/D:xx+xx_xx/E:3_1!0_xx-1/F:5_2#0_xx@3_1|8_5/G:xx_xx%xx_xx_xx/H:2_10/I:3-12@4+1&13-3|53+12/J:xx_xx/K:4+15-64
85725000 87325000 cl^t-a+sil=xx/A:3+5+1/B:01-7_1/C:10_7+2/D:xx+xx_xx/E:3_1!0_xx-1/F:5_2#0_xx@3_1|8_5/G:xx_xx%xx_xx_xx/H:2_10/I:3-12@4+1&13-3|53+12/J:xx_xx/K:4+15-64
